target,guesses,guess_count,is_common,won_in_6
adaws,slate-curbs-amass-adaws,4,False,True
adays,slate-curbs-amass-adaws-adays,5,False,True
adbot,slate-tabor-abbot-adbot,4,False,True
addas,slate-oasis-wrung-abbas-accas-addas,6,False,True
addax,slate-corny-mafia-abjad-addax,5,False,True
added,slate-radar-media-added,4,True,True
adder,slate-radar-adder,3,True,True
addin,slate-corny-admin-addin,4,False,True
addio,slate-corny-adobo-addio,4,False,True
addle,slate-bangs-apple-addle,4,True,True
addra,slate-corny-rabid-addra,4,False,True
adead,slate-radar-ahead-adead,4,False,True
adeem,slate-radar-amend-adeem,4,False,True
adept,slate-treed-adept,3,True,True
adhan,slate-corny-admin-adhan,4,False,True
adhoc,slate-corny-macho-adhoc,4,False,True
adieu,slate-radar-amend-adieu,4,True,True
adios,slate-oasis-adios,3,True,True
adits,slate-nymph-vista-baits-adits,5,False,True
adlib,slate-molar-dally-adlib,4,False,True
adman,slate-corny-admin-adman,4,False,True
admen,slate-radar-amend-admen,4,False,True
admin,slate-corny-admin,3,True,True
admit,slate-tabor-untag-admit,4,True,True
admix,slate-corny-mafia-admix,4,False,True
adnex,slate-radar-amend-adnex,4,False,True
adobe,slate-corgi-abode-adobe,4,True,True
adobo,slate-corny-adobo,3,True,True
adoon,slate-corny-wagon-axion-aboon-adoon,6,False,True
adopt,slate-tabor-adopt,3,True,True
adorb,slate-corny-armor-agora-abord-adorb,6,False,True
adore,slate-corgi-adore,3,True,True
adorn,slate-corny-adorn,3,True,True
adown,slate-corny-wagon-adown,4,False,True
adoze,slate-corgi-abode-adoze,4,False,True
adrad,slate-corny-parka-abram-adrad,5,False,True
adraw,slate-corny-parka-abram-adrad-adraw,6,False,True
adred,slate-radar-armed-aired-acred-adred,6,False,True
adret,slate-treed-dater-adret,4,False,True
adrip,slate-corny-parka-adrip,4,False,True
adsum,slate-oasis-unsay-adsum,4,False,True
aduki,slate-corny-mafia-hijab-aduki,5,False,True
adult,slate-taint-adult,3,True,True
adunc,slate-corny-acing-adunc,4,False,True
adust,slate-antsy-adust,3,False,True
advew,slate-radar-amend-adieu-advew,5,False,True
advts,slate-nymph-vista-advts,4,False,True
adyta,slate-taint-aorta-adyta,4,False,True
adyts,slate-nymph-tasty-adyts,4,False,True
adzed,slate-radar-amend-ached-abbed-adzed,6,False,True
adzes,slate-ashen-arses-aides-adzes,5,False,True
aecia,slate-radar-apnea-aecia,4,False,True
aedes,slate-ashen-arses-aides-aedes,5,False,True
aeger,slate-radar-anger-auger-aeger,5,False,True
aegis,slate-ashen-aegis,3,True,True
aeons,slate-ashen-aeons,3,False,True
aerie,slate-corgi-aerie,3,True,True
aeros,slate-ashen-aegis-aeros,4,False,True
aesir,slate-ashen-aegis-aesir,4,False,True
aevum,slate-radar-hyena-aevum,4,False,True
afald,slate-curia-loamy-afald,4,False,True
afanc,slate-churn-knack-afanc,4,False,True
afara,slate-churn-award-amaro-afara,5,False,True
afars,slate-curbs-grass-padre-roars-afars,6,False,True
afear,slate-radar-abear-afear,4,False,True
affix,slate-corny-mafia-affix,4,True,True
affly,slate-molar-daily-apply-affly,5,False,True
afion,slate-corny-wagon-axion-afion,5,False,True
afire,slate-corgi-afire,3,True,True
afizz,slate-corny-mafia-afizz,4,False,True
aflaj,slate-molar-lilac-gulag-bylaw-aflaj,6,False,True
aflap,slate-molar-lilac-gulag-bylaw-aflaj-aflap,7,False,False
aflow,slate-molar-aglow-ablow-aflow,5,False,True
afoam,slate-corny-adobo-afoam,4,False,True
afoot,slate-tabor-afoot,3,True,True
afore,slate-corgi-adore-afore,4,True,True
afoul,slate-molar-aioli-afoul,4,True,True
afret,slate-treed-watch-afret,4,False,True
afrit,slate-tabor-atria-afrit,4,False,True
afros,slate-oasis-comas-afros,4,False,True
after,slate-treed-watch-after,4,True,True
aftos,slate-antsy-astir-actas-aftos,5,False,True
again,slate-churn-again,3,True,True
agals,slate-psalm-defog-agals,4,False,True
agama,slate-churn-foamy-abamp-agama,5,False,True
agami,slate-churn-foamy-abamp-agama-agami,6,False,True
agamy,slate-churn-foamy-agamy,4,False,True
agape,slate-prick-agape,3,True,True
agars,slate-curbs-grass-agars,4,False,True
agasp,slate-curbs-awash-agasp,4,False,True
agast,slate-bronc-avast-agast,4,False,True
agate,slate-corgi-agate,3,True,True
agaty,slate-wrath-coati-agaty,4,False,True
agave,slate-prick-mewed-agave,4,True,True
agaze,slate-prick-mewed-agave-agaze,5,False,True
agbas,slate-oasis-wrung-agbas,4,False,True
agene,slate-corgi-vague-agene,4,False,True
agent,slate-treed-wheat-agent,4,True,True
agers,slate-ashen-aegis-agers,4,False,True
aggag,slate-corny-mafia-abjad-aggag,5,False,True
agger,slate-radar-anger-auger-aeger-agger,6,False,True
aggie,slate-corgi-aggie,3,True,True
aggri,slate-corny-rabid-prima-aggri,5,False,True
aggro,slate-corny-armor-agora-aggro,5,False,True
aggry,slate-corny-width-aggry,4,False,True
aghas,slate-oasis-wrung-agbas-aghas,5,False,True
agidi,slate-corny-mafia-hijab-aduki-agidi,6,False,True
agila,slate-molar-daily-agila,4,False,True
agile,slate-bangs-agile,3,True,True
aging,slate-corny-mixup-aging,4,True,True
agios,slate-oasis-adios-agios,4,False,True
agism,slate-oasis-agism,3,False,True
agist,slate-antsy-adust-agist,4,False,True
agita,slate-taint-agita,3,True,True
aglee,slate-bangs-agile-aglee,4,False,True
aglet,slate-paler-ablet-aglet,4,False,True
agley,slate-rangy-agley,3,False,True
agloo,slate-molar-aglow-agloo,4,False,True
aglow,slate-molar-aglow,3,True,True
aglus,slate-balsa-aglus,3,False,True
agmas,slate-oasis-wrung-agbas-aghas-agmas,6,False,True
agoge,slate-corgi-agoge,3,False,True
agogo,slate-corny-adobo-agogo,4,False,True
agone,slate-corgi-agone,3,False,True
agons,slate-oasis-comas-afros-agons,5,False,True
agony,slate-corny-agony,3,True,True
agood,slate-corny-adobo-agood,4,False,True
agora,slate-corny-armor-agora,4,True,True
agree,slate-corgi-agree,3,True,True
agria,slate-corny-parka-agria,4,False,True
agrin,slate-corny-quran-abrin-agrin,5,False,True
agros,slate-oasis-comas-afros-agros,5,False,True
agrum,slate-corny-parka-abrim-agrum,5,False,True
agued,slate-radar-amend-ached-abbed-adzed-agued,7,False,False
agues,slate-ashen-arses-aides-abbes-acmes-agues,7,False,False
aguey,slate-radar-hyena-abbey-aguey,5,False,True
aguna,slate-corny-mixup-fauna-abuna-aguna,6,False,True
agush,slate-oasis-bursa-agush,4,False,True
aguti,slate-taint-aguti,3,False,True
ahead,slate-radar-ahead,3,True,True
aheap,slate-radar-abeam-aheap,4,False,True
ahent,slate-treed-wheat-ahent,4,False,True
ahigh,slate-corny-mafia-hijab-ahigh,5,False,True
ahind,slate-corny-mixup-aging-ahind,5,False,True
ahing,slate-corny-mixup-aging-ahing,5,False,True
ahint,slate-tabor-untag-ahint,4,False,True
ahold,slate-molar-aioli-ahold,4,True,True
ahole,slate-bangs-apple-addle-ahole,5,False,True
ahull,slate-molar-daily-uvula-ahull,5,False,True
ahuru,slate-corny-rabid-augur-ahuru,5,False,True
aidas,slate-oasis-minas-aidas,4,False,True
aided,slate-radar-media-aided,4,True,True
aider,slate-radar-adder-aider,4,True,True
aides,slate-ashen-arses-aides,4,True,True
aidoi,slate-corny-adobo-aidoi,4,False,True
aidos,slate-oasis-adios-aidos,4,False,True
aiery,slate-radar-opera-acerb-aiery,5,False,True
aigas,slate-oasis-minas-aidas-aigas,5,False,True
aight,slate-tabor-untag-aight,4,False,True
ailed,slate-rangy-medal-abled-ailed,5,True,True
aimag,slate-corny-mafia-aimag,4,False,True
aimak,slate-corny-mafia-aimag-aimak,5,False,True
aimed,slate-radar-amend-aimed,4,True,True
aimer,slate-radar-anger-amber-aimer,5,False,True
ainee,slate-corgi-naive-ainee,4,False,True
ainga,slate-corny-admin-ainga,4,False,True
aioli,slate-molar-aioli,3,True,True
aired,slate-radar-armed-aired,4,True,True
airer,slate-radar-airer,3,False,True
airns,slate-oasis-minas-airns,4,False,True
airth,slate-taint-aguti-airth,4,False,True
airts,slate-nymph-vista-airts,4,False,True
aisle,slate-lapse-aisle,3,True,True
aitch,slate-tabor-untag-attic-aitch,5,False,True
aitus,slate-antsy-astir-aitus,4,False,True
aiver,slate-radar-anger-amber-acher-aiver,6,False,True
aixes,slate-ashen-arses-aides-aixes,5,False,True
aiyah,slate-corny-kayak-aiyah,4,False,True
aiyee,slate-corgi-naive-aiyee,4,False,True
aiyoh,slate-corny-bayou-aiyoh,4,False,True
aiyoo,slate-corny-bayou-aiyoh-aiyoo,5,False,True
aizle,slate-bangs-apple-addle-ahole-aizle,6,False,True
ajies,slate-ashen-arses-aides-abies-acies-ajies,7,False,False
ajiva,slate-corny-mafia-ajiva,4,False,True
ajuga,slate-corny-mafia-ajuga,4,False,True
ajupa,slate-corny-mafia-ajuga-ajupa,5,False,True
ajwan,slate-corny-admin-ajwan,4,False,True
akara,slate-churn-award-amaro-afara-akara,6,False,True
akees,slate-ashen-arses-aides-abbes-acmes-agues-akees,8,False,False
akela,slate-rangy-medal-akela,4,False,True
akene,slate-corgi-maybe-pupae-akene,5,False,True
aking,slate-corny-mixup-aging-ahing-aking,6,False,True
akita,slate-taint-agita-akita,4,False,True
akkas,slate-oasis-wrung-abbas-accas-addas-akkas,7,False,False
akker,slate-radar-anger-amber-acher-aiver-akker,7,False,False
akoia,slate-corny-adobo-afoam-akoia,5,False,True
akoja,slate-corny-adobo-afoam-akoia-akoja,6,False,True
akoya,slate-corny-bayou-akoya,4,False,True
aksed,slate-ashen-arses-absey-aksed,5,False,True
akses,slate-ashen-arses-akses,4,False,True
alaap,slate-prick-glamp-alaap,4,False,True
alack,slate-prick-black-flack-clack-alack,6,False,True
alala,slate-prick-gland-llama-alala,5,False,True
alamo,slate-prick-gland-llama-alamo,5,False,True
aland,slate-prick-gland-bland-aland,5,False,True
alane,slate-crumb-pudgy-flake-alane,5,False,True
alang,slate-prick-gland-alang,4,False,True
alans,slate-pecks-glass-flaws-alans,5,False,True
alant,slate-plant-alant,3,False,True
alapa,slate-prick-glamp-alapa,4,False,True
alaps,slate-pecks-flaps-alaps,4,False,True
alarm,slate-prick-alarm,3,True,True
alary,slate-prick-alarm-alary,4,False,True
alata,slate-alata,2,False,True
alate,slate-plate-elate-alate,4,False,True
alays,slate-pecks-glass-flaws-alans-alays,6,False,True
albas,slate-alias-albas,3,False,True
albee,slate-winks-algae-albee,4,False,True
albid,slate-agora-album-albid,4,False,True
album,slate-agora-album,3,True,True
alcea,slate-gonad-alley-alcea,4,False,True
alces,slate-fleas-alces,3,False,True
alcid,slate-agora-album-alcid,4,False,True
alcos,slate-alias-alcos,3,False,True
aldea,slate-gonad-alder-aldea,4,False,True
alder,slate-gonad-alder,3,True,True
aldol,slate-agora-allow-aldol,4,False,True
aleak,slate-gonad-bleak-aleak,4,False,True
aleck,slate-gonad-alley-aleck,4,False,True
alecs,slate-fleas-alecs,3,False,True
aleem,slate-gonad-alley-alcea-aleem,5,False,True
alefs,slate-fleas-alefs,3,False,True
aleft,slate-cleat-alert-aleft,4,False,True
aleph,slate-gonad-alley-aleck-aleph,5,False,True
alert,slate-cleat-alert,3,True,True
alews,slate-fleas-alecs-alews,4,False,True
aleye,slate-winks-algae-albee-aleye,5,False,True
alfas,slate-alias-albas-alfas,4,False,True
algae,slate-winks-algae,3,True,True
algal,slate-agora-algal,3,False,True
algas,slate-alias-albas-alfas-algas,5,False,True
algid,slate-agora-align-algid,4,False,True
algin,slate-agora-align-algin,4,False,True
algor,slate-agora-algor,3,False,True
algos,slate-alias-alcos-algos,4,False,True
algum,slate-agora-align-algum,4,False,True
alias,slate-alias,2,True,True
alibi,slate-agora-album-alibi,4,True,True
alick,slate-agora-album-alcid-alick,5,False,True
alien,slate-gonad-alien,3,True,True
alifs,slate-alias-alifs,3,False,True
align,slate-agora-align,3,True,True
alike,slate-winks-alike,3,True,True
alims,slate-alias-alifs-alims,4,False,True
aline,slate-winks-aline,3,True,True
alios,slate-alias-alifs-alims-alios,5,False,True
alist,slate-alist,2,False,True
alive,slate-winks-alive,3,True,True
aliya,slate-agora-alpha-aliya,4,False,True
alkie,slate-winks-alkie,3,False,True
alkin,slate-agora-album-alcid-alkin,5,False,True
alkos,slate-alias-alcos-algos-alkos,5,False,True
alkyd,slate-agora-album-alcid-alkyd,5,False,True
alkyl,slate-agora-album-alcid-alkyl,5,False,True
allan,slate-agora-allay-allan,4,True,True
allay,slate-agora-allay,3,True,True
allee,slate-winks-algae-albee-allee,5,False,True
allel,slate-gonad-alley-allel,4,False,True
allen,slate-gonad-alien-allen,4,True,True
aller,slate-gonad-alley-allel-aller,5,False,True
alley,slate-gonad-alley,3,True,True
allin,slate-agora-album-alcid-alkin-allin,6,False,True
allis,slate-alias-allis,3,False,True
allod,slate-agora-allow-alloy-allod,5,False,True
allot,slate-float-allot,3,True,True
allow,slate-agora-allow,3,True,True
alloy,slate-agora-allow-alloy,4,True,True
allus,slate-alias-alcos-allus,4,False,True
allyl,slate-agora-album-alcid-alkyl-allyl,6,False,True
almah,slate-agora-allay-almah,4,False,True
almas,slate-alias-albas-alfas-algas-almas,6,False,True
almeh,slate-gonad-alley-alcea-aleem-almeh,6,False,True
almes,slate-fleas-alces-almes,4,False,True
almud,slate-agora-album-almud,4,False,True
almug,slate-agora-align-algum-almug,5,False,True
alods,slate-alias-alcos-alods,4,False,True
aloed,slate-gonad-aloed,3,False,True
aloes,slate-fleas-alces-almes-aloes,5,False,True
aloft,slate-float-aloft,3,True,True
aloha,slate-agora-aloha,3,True,True
aloin,slate-agora-aloof-aloud-aloin,5,False,True
alone,slate-winks-alone,3,True,True
along,slate-agora-along,3,True,True
aloof,slate-agora-aloof,3,True,True
aloos,slate-alias-alcos-algos-alkos-aloos,6,False,True
alose,slate-alose,2,False,True
aloud,slate-agora-aloof-aloud,4,True,True
alowe,slate-winks-alowe,3,False,True
alpha,slate-agora-alpha,3,True,True
altar,slate-float-altar,3,True,True
alter,slate-cleat-alter,3,True,True
altho,slate-float-altho,3,False,True
altos,slate-alist-altos,3,False,True
alula,slate-agora-alpha-aliya-alula,5,False,True
alums,slate-alias-alcos-allus-alums,5,False,True
alumy,slate-agora-album-alumy,4,False,True
alure,slate-winks-algae-albee-alure,5,False,True
alurk,slate-agora-alurk,3,False,True
alvar,slate-agora-alvar,3,False,True
alway,slate-agora-allay-alway,4,True,True
amahs,slate-curbs-amass-amahs,4,False,True
amain,slate-churn-again-amain,4,False,True
amari,slate-churn-award-amaro-amari,5,False,True
amaro,slate-churn-award-amaro,4,True,True
amass,slate-curbs-amass,3,True,True
amate,slate-corgi-abate-amate,4,False,True
amaut,slate-grunt-amaut,3,False,True
amaze,slate-prick-mewed-amaze,4,True,True
amban,slate-corny-admin-amban,4,False,True
amber,slate-radar-anger-amber,4,True,True
ambit,slate-tabor-ambit,3,True,True
amble,slate-bangs-amble,3,True,True
ambos,slate-oasis-comas-ambos,4,False,True
ambry,slate-corny-width-aggry-ambry,5,False,True
ameba,slate-radar-apnea-aecia-ameba,5,False,True
ameer,slate-radar-anger-amber-ameer,5,False,True
amend,slate-radar-amend,3,True,True
amene,slate-corgi-maybe-amene,4,False,True
amens,slate-ashen-aeons-amens,4,False,True
ament,slate-treed-wheat-agent-ament,5,False,True
amias,slate-oasis-minas-amias,4,False,True
amice,slate-corgi-amice,3,False,True
amici,slate-corny-magic-amici,4,False,True
amide,slate-corgi-naive-abide-amide,5,False,True
amido,slate-corny-adobo-audio-amido,5,False,True
amids,slate-oasis-minas-amids,4,False,True
amies,slate-ashen-arses-aides-abies-acies-ajies-amies,8,False,False
amiga,slate-corny-mafia-amiga,4,False,True
amigo,slate-corny-adobo-amigo,4,True,True
amine,slate-corgi-naive-anime-amine,5,False,True
amino,slate-corny-amino,3,True,True
amins,slate-oasis-minas-amins,4,False,True
amirs,slate-oasis-minas-amids-amirs,5,False,True
amiss,slate-oasis-amiss,3,True,True
amity,slate-taint-agita-amity,4,True,True
amlas,slate-balsa-amlas,3,False,True
amman,slate-corny-admin-amman,4,True,True
ammas,slate-oasis-wrung-abbas-accas-addas-akkas-ammas,8,False,False
ammon,slate-corny-wagon-axion-aboon-ammon,6,False,True
ammos,slate-oasis-comas-ammos,4,False,True
amnia,slate-corny-admin-amnia,4,False,True
amnic,slate-corny-manic-amnic,4,False,True
amnio,slate-corny-wagon-amnio,4,False,True
amoks,slate-oasis-comas-ambos-amoks,5,False,True
amole,slate-bangs-apple-addle-ahole-amole,6,False,True
among,slate-corny-amino-among,4,True,True
amore,slate-corgi-adore-afore-abore-amore,6,False,True
amort,slate-tabor-amort,3,False,True
amour,slate-corny-armor-amour,4,True,True
amove,slate-corgi-abode-awoke-amove,5,False,True
amowt,slate-tabor-adopt-amowt,4,False,True
amped,slate-radar-amend-amped,4,True,True
ample,slate-bangs-apple-ample,4,True,True
amply,slate-molar-amply,3,True,True
ampul,slate-molar-amply-ampul,4,False,True
amrit,slate-tabor-atria-afrit-amrit,5,False,True
amuck,slate-corny-magic-amuck,4,True,True
amuse,slate-crump-amuse,3,True,True
amyls,slate-balsa-usual-acyls-amyls,5,False,True
anana,slate-churn-piano-aband-anana,5,False,True
anata,slate-wrath-coati-agaty-anata,5,False,True
ancho,slate-corny-bacon-ancho,4,True,True
ancle,slate-bangs-ankle-anole-ancle,5,False,True
ancon,slate-corny-bacon-ancon,4,False,True
andic,slate-corny-manic-andic,4,False,True
andro,slate-corny-adorn-andro,4,False,True
anear,slate-radar-abear-afear-anear,5,False,True
anele,slate-bangs-ankle-anole-ancle-anele,6,False,True
anent,slate-treed-wheat-agent-ament-anent,6,False,True
angas,slate-oasis-wrung-angas,4,False,True
angel,slate-rangy-angel,3,True,True
anger,slate-radar-anger,3,True,True
angle,slate-bangs-angle,3,True,True
anglo,slate-molar-aioli-anglo,4,True,True
angry,slate-corny-rangy-angry,4,True,True
angst,slate-antsy-angst,3,True,True
anigh,slate-corny-admin-ainga-anigh,5,False,True
anile,slate-bangs-ankle-anole-ancle-anele-anile,7,False,False
anils,slate-balsa-usual-acyls-anils,5,False,True
anima,slate-corny-admin-anima,4,True,True
anime,slate-corgi-naive-anime,4,True,True
animi,slate-corny-admin-anima-animi,5,False,True
anion,slate-corny-wagon-axion-afion-anion,6,False,True
anise,slate-crump-anise,3,True,True
anker,slate-radar-anger-anker,4,False,True
ankhs,slate-oasis-wrung-annas-ankhs,5,False,True
ankle,slate-bangs-ankle,3,True,True
ankus,slate-oasis-wrung-ankus,4,False,True
anlas,slate-balsa-amlas-anlas,4,False,True
annal,slate-molar-canal-annal,4,True,True
annan,slate-corny-admin-ajwan-annan,5,False,True
annas,slate-oasis-wrung-annas,4,True,True
annat,slate-tabor-untag-annat,4,False,True
annex,slate-radar-hyena-annex,4,True,True
annoy,slate-corny-annoy,3,True,True
annul,slate-molar-daily-annul,4,True,True
annum,slate-corny-admin-annum,4,True,True
annus,slate-oasis-wrung-ankus-annus,5,False,True
anoas,slate-oasis-comas-anoas,4,False,True
anode,slate-corgi-abode-anode,4,True,True
anole,slate-bangs-ankle-anole,4,True,True
anomy,slate-corny-annoy-anomy,4,False,True
ansae,slate-crump-anise-ansae,4,False,True
ansas,slate-oasis-ansas,3,False,True
antae,slate-bathe-vitae-antae,4,False,True
antar,slate-tabor-antar,3,False,True
antas,slate-antsy-antas,3,False,True
anted,slate-treed-gated-acted-anted,5,False,True
antes,slate-asset-antes,3,False,True
antic,slate-tabor-untag-antic,4,True,True
antis,slate-antsy-antas-antis,4,False,True
antra,slate-tabor-atria-antra,4,False,True
antre,slate-bathe-vitae-antre,4,False,True
antsy,slate-antsy,2,True,True
anura,slate-corny-urban-anura,4,False,True
anvil,slate-molar-daily-anvil,4,True,True
anyon,slate-corny-anyon,3,False,True
aorta,slate-taint-aorta,3,True,True
apace,slate-prick-apace,3,True,True
apage,slate-prick-agape-apage,4,False,True
apaid,slate-churn-foamy-abaka-apaid,5,False,True
apart,slate-grunt-apart,3,True,True
apayd,slate-churn-foamy-abaya-apayd,5,False,True
apays,slate-curbs-amass-adaws-apays,5,False,True
apeak,slate-radar-abeam-aheap-apeak,5,False,True
apeek,slate-radar-hyena-apeek,4,False,True
apers,slate-ashen-aegis-areas-abers-acers-apers,7,False,False
apert,slate-treed-avert-apert,4,False,True
apery,slate-radar-opera-apery,4,False,True
apgar,slate-corny-rabid-augur-apgar,5,False,True
aphid,slate-corny-mafia-aphid,4,True,True
aphis,slate-oasis-abris-aphis,4,False,True
apian,slate-corny-admin-avian-apian,5,False,True
aping,slate-corny-mixup-aping,4,True,True
apiol,slate-molar-aioli-apiol,4,False,True
apish,slate-oasis-agism-apish,4,False,True
apism,slate-oasis-agism-apism,4,False,True
apnea,slate-radar-apnea,3,True,True
apode,slate-corgi-abode-anode-apode,5,False,True
apods,slate-oasis-comas-afros-agons-apods,6,False,True
apols,slate-balsa-usual-acyls-anils-apols,6,False,True
apoop,slate-corny-adobo-apoop,4,False,True
aport,slate-tabor-amort-aport,4,False,True
appal,slate-molar-canal-axial-appal,5,False,True
appam,slate-corny-mafia-appam,4,False,True
appay,slate-corny-budge-hammy-appay,5,False,True
appel,slate-rangy-medal-acoel-appel,5,False,True
apple,slate-bangs-apple,3,True,True
apply,slate-molar-daily-apply,4,True,True
appro,slate-corny-armor-agora-appro,5,False,True
appts,slate-nymph-pasta-appts,4,False,True
appui,slate-corny-mafia-hijab-aduki-appui,6,False,True
appuy,slate-corny-budge-appuy,4,False,True
apres,slate-ashen-arses-acres-apres,5,False,True
apron,slate-corny-apron,3,True,True
apses,slate-ashen-arses-akses-apses,5,False,True
apsis,slate-oasis-apsis,3,False,True
apsos,slate-oasis-apsos,3,False,True
apted,slate-treed-gated-acted-anted-apted,6,False,True
apter,slate-treed-watch-after-apter,5,False,True
aptly,slate-taint-aptly,3,True,True
